A5A5A5A5A5A5
   Counter,      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env,   Temp(C),     RH(%),    P(hPa),   Alti(m)
       116,  2000/1/1,    0:2:22,      0.00,    0,              0,              0,       516,       159,         6,         0,         0,         0,         1,         1,         1,         1,         1,         1,     27.33,41.04,101.91,101.91
       117,  2000/1/1,    0:2:23,      0.00,    0,              0,              0,       516,       159,         6,         0,         0,         0,         1,         1,         1,         1,         1,         1,     27.33,40.91,101.91,101.91
       118,  2000/1/1,    0:2:24,      0.00,    0,              0,              0,       516,       159,         6,         0,         0,         0,         1,         1,         1,         1,         1,         1,     27.34,41.12,101.91,101.91
       119,  2000/1/1,    0:2:25,      0.00,    0,              0,              0,       516,       159,         6,         0,         0,         0,         1,         1,         1,         1,         1,         1,     27.34,41.52,101.91,101.91
       120,  2000/1/1,    0:2:26,      0.00,    0,              0,              0,       576,       179,        15,         0,         0,         0,         2,         2,         2,         2,         2,         2,     27.35,41.68,101.91,101.91
       121,  2000/1/1,    0:2:27,      0.00,    0,              0,              0,       576,       179,        15,         0,         0,         0,         2,         2,         2,         2,         2,         2,     27.35,41.76,101.91,101.91
       122,  2000/1/1,    0:2:28,      0.00,    0,              0,              0,       525,       162,        15,         0,         0,         0,         1,         2,         2,         1,         2,         2,     27.36,41.81,101.91,101.91
       123,  2000/1/1,    0:2:29,      0.00,    0,              0,              0,       447,       139,        12,         0,         0,         0,         1,         1,         1,         1,         1,         1,     27.37,41.86,101.91,101.91
       124,  2000/1/1,    0:2:33,      0.00,    0,              0,              0,       564,       178,        12,         0,         0,         0,         3,         3,         3,         3,         3,         3,     27.37,41.74,101.91,101.91
       125,  2000/1/1,    0:2:34,      0.00,    0,              0,              0,       495,       158,        12,         0,         0,         0,         1,         2,         2,         1,         2,         2,     27.38,42.43,101.91,101.91
       126,  2000/1/1,    0:2:35,      0.00,    0,              0,              0,       495,       158,        12,         0,         0,         0,         1,         2,         2,         1,         2,         2,     27.39,42.42,101.91,101.91
       127,  2000/1/1,    0:2:36,      0.00,    0,              0,              0,       504,       164,         9,         0,         0,         0,         1,         2,         2,         1,         2,         2,     27.40,42.25,101.91,101.91
       128,  2000/1/1,    0:2:37,      0.00,    0,              0,              0,       504,       164,         9,         0,         0,         0,         1,         2,         2,         1,         2,         2,     27.41,41.83,101.91,101.91
       129,  2000/1/1,    0:2:38,      0.00,    0,              0,              0,       573,       191,        18,         0,         0,         0,         2,         3,         3,         2,         3,         3,     27.41,42.00,101.91,101.91
       130,  2000/1/1,    0:2:39,      0.00,    0,              0,              0,       564,       188,        18,         0,         0,         0,         2,         3,         3,         2,         3,         3,     27.42,42.11,101.91,101.91
       131,  2000/1/1,    0:2:40,      0.00,    0,              0,              0,       564,       188,        18,         0,         0,         0,         2,         3,         3,         2,         3,         3,     27.43,42.31,101.91,101.91
       132,  2000/1/1,    0:2:41,      0.00,    0,              0,              0,       606,       198,        21,         0,         0,         0,         2,         3,         3,         2,         3,         3,     27.43,42.24,101.91,101.91
       133,  2000/1/1,    0:2:42,      0.00,    0,              0,              0,       606,       198,        21,         0,         0,         0,         2,         3,         3,         2,         3,         3,     27.44,42.36,101.91,101.91
