sigma0,K,tau,wrmse,scale
50.0,292.8571428571429,1942.857142857143,16.20728820150421,345845.4133020779
50.0,292.8571428571429,2108.5714285714284,16.206913935220417,348862.49109523825
50.0,292.8571428571429,2274.285714285714,16.206573077120158,351372.48951059807
50.0,292.8571428571429,2440.0,16.206261974828,353476.26623932674
50.0,292.8571428571429,2605.714285714286,16.205977346599003,355251.7430463954
50.0,292.8571428571429,2771.4285714285716,16.205716280648556,356759.6884485683
50.0,292.8571428571429,2937.1428571428573,16.20547621175542,358047.92333555775
50.0,292.8571428571429,3102.857142857143,16.20525488836728,359154.40511726396
50.0,292.8571428571429,3268.571428571429,16.205050337235956,360109.50934564765
50.0,292.8571428571429,3434.2857142857147,16.204860829149794,360937.7327027147
50.0,292.8571428571429,3600.0,16.20468484742047,361658.97534779354
50.0,340.0,120.0,16.213361925234924,197931.84086772916
50.0,340.0,285.7142857142857,16.21302836275877,225574.62688533714
50.0,340.0,451.42857142857144,16.212466843576273,259099.52767998617
50.0,340.0,617.1428571428571,16.211798845693355,285326.26268251013
50.0,340.0,782.8571428571429,16.211101409317557,305690.66142207506
50.0,340.0,948.5714285714287,16.210418616402844,321601.88384257216
50.0,340.0,1114.2857142857142,16.209773219169197,334141.3115014188
50.0,340.0,1280.0,16.20917501790751,344121.8633025737
50.0,340.0,1445.7142857142858,16.20862649238313,352148.9257006565
50.0,340.0,1611.4285714285716,16.20812627014075,358672.23137082055
50.0,340.0,1777.1428571428573,16.207671138241853,364026.8688066162
50.0,340.0,1942.857142857143,16.20725716088598,368464.10814875015
50.0,340.0,2108.5714285714284,16.206880275063146,372173.94271789317
50.0,340.0,2274.285714285714,16.206536590453197,375301.3711926912
50.0,340.0,2440.0,16.20622252549418,377958.12257913616
50.0,340.0,2605.714285714286,16.205934854894956,380231.1196332723
50.0,340.0,2771.4285714285716,16.2056707109706,382188.6219866572
50.0,340.0,2937.1428571428573,16.2054275623825,383884.7179262208
50.0,340.0,3102.857142857143,16.205203183210806,385362.63605653984
50.0,340.0,3268.571428571429,16.204995619279902,386657.20827927336
50.0,340.0,3434.2857142857147,16.20480315528968,387796.71783827577
50.0,340.0,3600.0,16.20462428443453,388804.2981513421
50.0,387.14285714285717,120.0,16.213355130825065,203203.1024936716
50.0,387.14285714285717,285.7142857142857,16.213012276800963,232539.65366952165
50.0,387.14285714285717,451.42857142857144,16.212448049845033,268348.03413733817
50.0,387.14285714285717,617.1428571428571,16.21178179773138,296668.4523484182
50.0,387.14285714285717,782.8571428571429,16.211088241822107,318848.6207982007
50.0,387.14285714285717,948.5714285714287,16.210409901235654,336325.0138161912
50.0,387.14285714285717,1114.2857142857142,16.20976867462288,350216.29561229347
50.0,387.14285714285717,1280.0,16.20917398410843,361369.1898080233
50.0,387.14285714285717,1445.7142857142858,16.208628200106418,370417.85210637073
50.0,387.14285714285717,1611.4285714285716,16.208129975143468,377836.0221750849
50.0,387.14285714285717,1777.1428571428573,16.207676179041627,383978.656627944
50.0,387.14285714285717,1942.857142857143,16.20726297647737,389113.41712001874
50.0,387.14285714285717,2108.5714285714284,16.206886403288244,393443.8193623953
50.0,387.14285714285717,2274.285714285714,16.206542658092996,397126.0387959723
50.0,387.14285714285717,2440.0,16.20622823570214,400281.0718901227
50.0,387.14285714285717,2605.714285714286,16.205939974657447,403003.5564340924
50.0,387.14285714285717,2771.4285714285716,16.205675059748387,405368.20349237864
50.0,387.14285714285717,2937.1428571428573,16.205431002317756,407434.5217236905
50.0,387.14285714285717,3102.857142857143,16.205205610917194,409250.315917394
50.0,387.14285714285717,3268.571428571429,16.204996959074137,410854.3002110638
50.0,387.14285714285717,3434.2857142857147,16.204803353668435,412278.0671508833
50.0,387.14285714285717,3600.0,16.20462330559562,413547.5842837441
50.0,434.28571428571433,120.0,16.213348250927442,209687.09530893093
50.0,434.28571428571433,285.7142857142857,16.212997348684326,239929.846435667
50.0,434.28571428571433,451.42857142857144,16.212432154339997,277578.4768756685
50.0,434.28571428571433,617.1428571428571,16.211769532913724,307675.6030891556
50.0,434.28571428571433,782.8571428571429,16.211081795697687,331429.3163403105
50.0,434.28571428571433,948.5714285714287,16.210409883879848,350277.87738744484
50.0,434.28571428571433,1114.2857142857142,16.20977482894398,365363.3238592506
50.0,434.28571428571433,1280.0,16.20918565327744,377557.58990667807
50.0,434.28571428571433,1445.7142857142858,16.208644594139834,387517.7488311196
50.0,434.28571428571433,1611.4285714285716,16.208150307955023,395737.3089024508
50.0,434.28571428571433,1777.1428571428573,16.207699731037305,402587.90707013954
50.0,434.28571428571433,1942.857142857143,16.20728911729924,408351.1410326636
50.0,434.28571428571433,2108.5714285714284,16.206914594556284,413242.1262893093
50.0,434.28571428571433,2274.285714285714,16.20657244695234,417426.6909931858
50.0,434.28571428571433,2440.0,16.206259244826576,421033.8787208022
50.0,434.28571428571433,2605.714285714286,16.20597189153213,424165.05653004686
50.0,434.28571428571433,2771.4285714285716,16.205707626545713,426900.5843405059
50.0,434.28571428571433,2937.1428571428573,16.20546400689614,429304.73297089257
50.0,434.28571428571433,3102.857142857143,16.20523887907951,431429.3398888228
50.0,434.28571428571433,3268.571428571429,16.205030348037067,433316.5497843586
50.0,434.28571428571433,3434.2857142857147,16.204836746616284,435000.8868436561
50.0,434.28571428571433,3600.0,16.204656607169138,436510.83514543023
50.0,481.42857142857144,120.0,16.213341232581108,217180.93312296286
50.0,481.42857142857144,285.7142857142857,16.212983106877086,247730.16788801557
50.0,481.42857142857144,451.42857142857144,16.212417889589513,286888.53648611007
50.0,481.42857142857144,617.1428571428571,16.211759810220986,318520.7686788825
